ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
.TOTAL ALIMENTACION,74543604.005106,13201752.678182,2224316.734372,1960488.179578,7717932.763128,2223492.829289,12212747.711076,9982844.651355,3032511.528795,1504873.662941,4008166.886834,4577161.511449,1883026.122767,892214.603834,4150940.86928,488640.463368,1064579.9973429998,3417914.496807
T.HUEVOS KGS,986129.5154,163919.73340000003,30369.03433,22989.646705,101857.64364999998,27444.026172,165006.9714,129001.35344,38173.07077,18073.7438,49577.90882999999,70901.06624,24813.212969,13300.359453000005,60184.36425,6246.450494999999,15067.936852000004,49203.02510399999
T.HUEVOS UNDS.,986129.5154,163919.73340000003,30369.03433,22989.646705,101857.64364999998,27444.026172,165006.9714,129001.35344,38173.07077,18073.7438,49577.90882999999,70901.06624,24813.212969,13300.359453000005,60184.36425,6246.450494999999,15067.936852000004,49203.02510399999
TOTAL HUEVOS GALLINA,972814.9300000002,161744.71,29580.794,22482.523,100475.862,27083.511,162262.53,127637.806,37729.264,17846.342,48701.074,70288.911,24748.107,13218.103,58925.44599999999,6158.3395,14928.880999999998,49002.76000000001
OTRAS AVES,13314.5854,2175.0234,788.24033,507.123705,1381.78165,360.515172,2744.4414,1363.5474399999998,443.80677,227.4018,876.8348299999999,612.15524,65.105969,82.256453,1258.9182500000002,88.110995,139.05585200000002,200.265104
MIEL,113764.52199999998,21418.8997,3445.67758,3222.754190000001,10268.445550000002,2982.68583,18792.588,15118.21111,3457.53929,1308.34108,6544.690149999998,7467.10112,2231.11448,1885.0552700000003,6704.179700000001,709.665499,1654.86468,6552.708949999999
GRANEL,47024.656,8379.0987,1849.78944,695.594,3679.827450000001,1497.0443799999998,8162.0182,3848.77931,991.60264,606.77827,3247.5772500000003,4091.062950000001,937.79067,541.5977300000001,3840.3221,381.91749,1317.83862,2956.01645
ENVASADA,66739.86600000001,13039.801,1595.8881399999998,2527.16019,6588.6181,1485.64145,10630.5698,11269.4318,2465.93665,701.5628100000001,3297.1129,3376.03817,1293.3238100000003,1343.45754,2863.8576,327.748009,337.02606,3596.6925
TOTAL CARNE,14842534.7563,2572680.61745,472965.466353,359574.835012,1556922.053655,417394.685606,2307552.82951,2078534.2103000009,676279.608081,292265.6247,909160.43416,848629.7874999999,349557.67498,166551.53036900004,861334.492324,107973.421136,225831.9883690001,639326.0007869999
CARNE CERTIFICADA,2786714.3999999994,484807.56,84830.266,62617.315,267704.21,63326.236,370757.69,396737.99,119667.725,44896.353,211689.65,221528.26,68688.20699999998,43266.264,157034.81,16654.7731,45720.462,126786.86400000002
CARNE FRESCA,9471931.452,1653339.6873,320043.2149099999,232304.47716,1028030.054895,255052.752815,1365057.22894,1304876.42473,434830.7924,176468.49731,631632.0238300001,585862.2631999999,215761.80377,112964.68226,582350.88057,73783.556516,156964.48736000003,342609.01358
SALCHICHAS FRESCAS,116776.483,32944.861000000004,9094.9345,2508.80124,8041.524000000001,3803.59698,13356.801,10939.482,6381.366699999999,2835.7715,10186.9391,2584.9238000000005,1618.9616200000005,1072.40696,6932.834199999998,973.42393,2982.3012,517.565788
CARNE VACUNO,2192593.452,372909.75,60669.602580000006,47705.40436,189221.9666,42844.8952,234981.6391,375060.2,78628.9305,26625.25936,162129.93510000003,164198.50419999997,58783.47362,38092.30803,183998.1779,13243.89784,36019.55691,107480.1419
TERNERA,1584303.5,308659.33,46673.09,33265.163,131368.862,30792.53,166303.09999999998,240067.93,55763.346,19368.581,132690.639,149758.636,51965.26,20364.1152,117421.89500000002,9408.9709,27600.741,42831.494000000006
AÑOJO,469341.97,45468.299000000006,11427.7211,10526.3258,45679.507000000005,8507.5873,55212.86,105590.78200000002,18363.197900000003,4902.645299999999,21974.151,10299.2664,4379.0146,15133.9204,49022.538,2475.65043,5541.901899999999,54836.606
MAYOR,138947.98200000002,18782.121000000003,2568.7914800000003,3913.91556,12173.5976,3544.7779,13465.6791,29401.488,4502.3866,2354.03306,7465.145100000002,4140.6018,2439.19902,2594.27243,17553.7449,1359.27651,2876.91401,9812.0419
CARNE POLLO,2555119.18,414993.751,85843.78020000001,67309.2778,296331.98600000003,79109.83959999999,445111.307,345075.89,122565.635,54265.4931,139469.821,136586.348,55840.7682,24187.1817,144859.109,17624.798600000002,36297.2499,89647.0779
POLLO ENTERO,456487.14,77637.539,19136.6242,9417.9008,58816.48999999999,18143.43,70927.96100000001,45524.453,22159.668,9582.7098,28913.128,43075.036,5489.8672,3393.6244,21677.517,3402.3142,7204.368400000001,11984.5339
POLLO FILETES,505852.94,76096.102,17022.96,12654.084000000004,51122.136000000006,15204.620599999998,86345.156,80814.187,22314.826,8901.9233,26141.536,19838.825,16632.073,4760.6083,29959.904,3257.1927,6476.143500000001,28310.67000000001
POLLO POR PIEZAS,1592779.1,261260.11000000004,49684.196,45237.293,186393.36,45761.78899999999,287838.19,218737.25,78091.141,35780.86,84415.157,73672.487,33718.828,16032.949,93221.688,10965.2917,22616.738,49351.874
CARNE CONEJO,252024.54,58224.878,10474.3318,7092.7665,32160.362,8471.8611,22136.371,24764.506,7705.0711,4333.2622,17326.967,17527.3461,5481.8378,1784.2293100000002,16401.3372,3331.8831,6544.8253,8262.732500000002
CARNE OVINO/CAPRINO,633895.257,133185.8653,35947.89133,14685.2482,78161.31729500002,18959.272415,50390.19184,95141.68463,35145.004700000005,13262.79435,52355.79903,28102.6905,11290.03825,7093.928979999999,33748.72717,8349.103936,13006.17421,5069.53238
CORDERO,566211.91,112934.255,31490.018,13762.495600000002,74145.85200000001,17045.4627,45367.957,86984.87400000001,32453.795999999995,11881.719100000002,45145.672,24008.2694,9946.036,5247.34762,31860.097,7639.3753,12344.5036,3954.26111
CABRITO,50317.255,18183.0042,1247.974581,758.9706100000001,2791.79435,1518.7213800000002,3764.07851,7155.59076,1798.8672000000004,1049.0584199999998,2699.9669000000004,3658.1587,1000.323882,1552.45527,1631.05219,709.7285760000001,232.37575,565.12759
OTRO OVINO/CAPRINO,17366.0423,2068.60602,3209.90005,163.78044,1223.672963,395.08871,1258.157854,1001.2273200000002,892.3434900000001,332.01692,4510.162490000001,436.262146,343.67823,294.12606,257.57882800000004,0.0,429.29511,550.14374
OVINO/CAPRINO ENTE,119626.537,19388.0973,3479.07533,3093.8285,8682.086295000001,1953.363615,8068.416840000001,17515.93663,8024.493699999999,5014.26135,16703.974029999998,11730.3578,2146.05695,2525.24909,6032.89117,2074.536136,2581.37141,612.52878
OVINO/CAPRINO PIEZ,514268.72,113797.768,32468.816000000003,11591.4197,69479.23099999999,17005.908799999997,42321.775,77625.74799999999,27120.511,8248.533,35651.825,16372.3327,9143.9813,4568.67989,27715.836,6274.567800000001,10424.8028,4457.0036
CARNE CERDO,2791932.7,483891.59,86459.89600000001,68181.88200000001,299893.47,78794.591,455117.12000000005,333190.44,144623.54,61307.82199999999,196542.08,188920.92,63154.102000000006,30775.385,137822.52000000002,21344.785,44952.297000000006,96960.237
CARNE CERDO ADOBAD,283231.17,30342.757,7396.8979,3347.757,23901.505,5753.353099999999,32146.062,61621.201,16556.3877,4611.9586,32258.614,13886.2547,6047.3349,6888.6885,21965.531,2360.0792999999994,3658.468,10488.3258
CARN.CERDO IBERICO,155502.995,30816.356,3547.69714,1915.87539,11657.826500000005,4626.309800000001,44486.246,19876.127200000003,4685.54729,6558.37847,9202.5274,3400.2531000000004,2400.0453,1277.2794500000002,6367.447999999999,352.41715200000004,1383.41472,2949.2367000000004
CARNE CABALLO,24608.782000000003,6331.56,308.973651,77.764215,7626.838299999999,333.108929,2009.24869,1911.05672,203.32159,81.966112,952.833614,552.296936,171.83189,403.3132450000001,566.3674100000001,693.4694000000001,2300.09222,84.740602
CARNE DESPOJOS,187919.103,41858.833000000006,5662.948,5278.2983,21176.702,4871.8265,24296.323,23288.7791,8905.4721,2421.319,15578.4807,9479.1874,5074.0579,2420.93024,10908.547299999998,1918.9886400000005,2203.76904,2574.6548999999995
DESPOJOS CERDO,89333.95999999999,23599.8751,3061.68474,2552.54111,8992.832999999999,2079.09349,13931.2369,8075.856400000001,5001.714599999999,1150.3680000000002,7883.543599999999,4701.3194,1795.8044600000003,850.8573159999999,3376.88025,970.41809,995.651743,314.271436
DESPOJOS CORDERO,15011.9844,3228.7337,1108.86209,621.658564,1897.82376,746.1769800000001,1069.87778,2867.6876,818.57118,177.566602,836.72439,212.73112000000003,36.309509,63.636371,416.1651,348.727458,498.888409,61.84432
DESPOJOS POLLO,30062.753,5066.9958,574.48944,1092.96322,6732.623800000001,1248.9067200000002,4799.136399999999,3018.6135000000004,1862.3668,609.762868,1229.74695,1093.0838,649.384647,327.64564600000006,796.4999150000001,77.166236,206.55861,676.80727
DESPOJOS TERNERA,46835.789,8388.055100000001,769.919416,703.028198,2415.9984,576.1623179999999,3812.3053,8498.3954,1022.57178,376.1288420000001,5348.374999999999,3414.72654,2380.4817,879.895018,5957.3225,436.114309,412.0911190000001,1444.21716
DESPOJOS OT.PROCED,6674.637299999999,1575.170819,147.992223,308.10720000000003,1137.42223,221.486923,683.765849,828.224697,200.247691,107.49268,280.09051800000003,57.32674,212.077246,298.895699,361.680124,86.56246300000001,90.579377,77.514729
OTRAS CARNES FRESCA,858447.2200000001,148275.02000000002,34984.765,22051.6,111084.25100000002,22000.467,133024.277,108354.925,37257.139,14252.547300000002,48228.941,41047.267,16137.526,8610.719,54612.46199999999,7970.099400000001,17940.615,32614.637
AVESTRUZ,1588.55244,324.36126,0.0,48.674888,386.0231,91.19408,255.11443,145.106341,56.39018,26.829591,105.511171,54.443920000000006,7.325345,0.0,56.498602,0.0,16.725630000000002,14.35384
PAVO,431109.31,69791.29000000001,20109.071600000003,9077.005700000002,46002.327000000005,11859.8997,65805.756,55986.280000000006,17828.697,6383.594099999999,26870.088,22956.838000000003,8829.3517,4024.8656,31969.877,4192.5972,9663.4739,19758.303
OTRAS AVES,92609.51599999996,16786.7942,3835.92137,3860.50239,10744.458000000002,1930.59266,18056.414,11189.2547,3814.2139,2012.59008,5252.478,3177.92693,946.35081,754.0319400000001,5960.248199999999,792.94664,1312.413164,2182.37726
CARNE CONGELADA,262534.84,32440.58474,5540.05028,7862.7268,27518.317510000004,7407.945103,39532.088500000005,25484.9414,12153.17997,4055.93413,9683.8499,13656.935316000005,3080.355633,3025.731702,6626.932875,1939.382294,2435.8826,60089.9924
C.CONG.POLLO,114927.624,12179.303199999998,1972.71348,2503.5617,11345.2344,3693.2593000000006,16925.423,10637.947799999998,6278.0762,1608.03422,4443.826599999999,3770.4758,1112.17305,1195.81281,2932.6087,454.5932449999999,453.85296000000005,33420.725
C.CONG.CERDO,59409.04699999999,8657.731800000001,1723.0341,2532.99969,5004.3211,1940.66252,10153.248199999998,5054.3168000000005,2683.7952,1214.08398,1788.66213,3752.20351,677.5360009999999,1026.2441199999998,1410.286353,731.583251,1224.58789,9833.7485
C.CONG.VACA,38344.39400000001,4047.87454,467.12317,632.95602,3462.98791,291.644423,5186.697900000001,5187.928599999998,1065.68781,427.324382,1774.69005,3078.500996,695.44894,352.532498,1030.93758,478.92908,583.09748,9580.0324
CARNE CABALLO,105.913386,7.281359,0.0,0.0,39.9832,0.0,19.15073,0.0,0.0,22.5839,0.0,0.0,0.0,0.0,8.674483,0.0,0.0,8.239716
RESTO CARNES CONG.,49853.775,7555.675200000001,1377.1795300000003,2193.2093900000004,7705.7741,1482.37886,7266.7194,4604.7482,2125.62076,806.491548,1676.67112,3055.75501,595.1976420000001,451.142274,1253.100242,274.276718,174.34427,7255.4865
SALCHICHAS CONGELAD,1445.66723,19.903845,52.590479,53.94197,16.503971999999997,4.764734000000001,263.06461,5.965196,60.083128,33.036910000000006,2.566629,27.23696,0.0,14.65009,0.0,0.0,31.662650000000003,859.6960799999999
CARNE TRANSFORMADA,5108068.4643,886900.3454100001,147382.201163,119407.631052,501373.68125,154933.987688,902963.51207,748172.8441699999,229295.635711,111741.19326,267844.56043,249110.588984,130715.515577,50561.116407,272356.678879,32250.482326,66431.618409,236626.994807
JAMON CURADO+PALETA,1556107.27,276912.754,51239.1521,35795.22399,161423.76700000002,43870.9494,278807.9,233223.956,64132.0419,31272.51668,74037.86,67978.9497,42926.9286,12558.773643000002,82026.26269999999,10760.819350000002,24860.509080000003,64278.9737
JAMON C.+P.ENTERO,507897.07,84710.744,21693.9221,7220.80299,47930.258,13511.345400000002,118534.611,69578.786,25817.8199,15708.38418,25556.163,19931.3217,13233.4486,1723.6312430000005,19537.5087,4568.07365,6465.737079999999,12174.5357
JAMON C.+P.LONCHA,1048210.2,192202.01,29545.230000000003,28574.420999999995,113493.509,30359.604,160273.28900000002,163645.17,38314.222,15564.132500000002,48481.69699999999,48047.628,29693.480000000003,10835.1424,62488.75399999999,6192.7457,18394.772,52104.43800000001
JAMON CURADO NORMAL,926392.16,137699.95200000002,32832.615,23196.891,120340.368,34991.648,165770.03,112348.896,46542.297,14386.732499999998,50289.23300000001,50876.921,30561.812,6658.2104,35790.991,6681.171299999999,17709.183,39715.228
